user_id,username,logins_per_week,avg_payment_delay_days,discount_purchase_pct,total_complaints,open_complaints,recent_usage_hours,prior_usage_hours,usage_trend_ratio,customer_group
1,emily_smith_1,1.1666666666666667,0.0,0.0,3,2,12.09,75.46,0.16,At Risk
2,karen_taylor_2,1.2833333333333334,3.5,100.0,0,0,55.67,57.02,0.97,Discount Hunter
3,jane_smith_3,0.7,2.0,0.0,3,2,11.31,73.92,0.15,At Risk
4,thomas_jackson_4,1.2833333333333334,1.5,100.0,0,0,55.8,64.66,0.86,Discount Hunter
5,james_smith_5,4.2,14.5,0.0,2,0,94.74,90.65,1.04,Late Payer
6,jane_miller_6,0.8166666666666667,3.5,100.0,1,0,52.43,63.61,0.82,At Risk
7,sarah_miller_7,3.15,2.0,0.0,0,0,115.41,107.52,1.07,Healthy
8,charles_davis_8,0.35,9.0,0.0,2,1,10.2,79.76,0.13,At Risk
9,christopher_moore_9,4.433333333333334,22.5,0.0,0,0,95.37,89.16,1.07,Late Payer
10,thomas_williams_10,3.85,21.5,0.0,1,0,92.92,87.02,1.07,Late Payer
11,sarah_hernandez_11,1.2833333333333334,15.5,0.0,2,2,12.02,77.83,0.15,At Risk
12,jessica_anderson_12,3.6166666666666667,22.0,0.0,2,0,93.36,81.55,1.14,Late Payer
13,sandra_miller_13,0.8166666666666667,2.0,100.0,0,0,55.51,63.26,0.88,At Risk
14,william_garcia_14,2.683333333333333,11.5,0.0,2,0,97.35,93.53,1.04,Late Payer
15,christopher_miller_15,1.4,1.0,100.0,1,0,54.09,59.62,0.91,Discount Hunter
16,sandra_thomas_16,7.116666666666666,0.5,0.0,0,0,121.11,102.91,1.18,Healthy
17,william_williams_17,1.4,2.0,100.0,1,0,58.21,57.35,1.01,Discount Hunter
18,joseph_jackson_18,1.5166666666666666,2.5,100.0,1,0,53.47,56.92,0.94,Discount Hunter
19,michael_thomas_19,1.05,6.5,0.0,3,2,12.62,71.2,0.18,At Risk
20,david_jackson_20,1.2833333333333334,15.5,0.0,2,1,12.93,70.67,0.18,At Risk
21,jessica_miller_21,0.9333333333333333,7.0,0.0,2,1,10.83,74.74,0.14,At Risk
22,jane_taylor_22,0.9333333333333333,14.5,0.0,4,1,12.57,74.09,0.17,At Risk
23,lisa_moore_23,0.4666666666666667,6.0,0.0,2,2,12.42,76.82000000000001,0.16,At Risk
24,john_johnson_24,1.05,6.5,0.0,3,1,12.08,70.47,0.17,At Risk
25,james_smith_25,0.8166666666666667,10.0,0.0,4,2,13.69,79.93,0.17,At Risk
26,sarah_wilson_26,0.5833333333333334,0.5,0.0,3,2,10.76,73.28999999999999,0.15,At Risk
27,thomas_brown_27,3.5,20.0,0.0,0,0,93.99,91.96,1.02,Late Payer
28,jane_johnson_28,3.6166666666666667,3.0,16.666666666666668,0,0,116.8,110.75,1.05,Healthy
29,sarah_brown_29,1.1666666666666667,1.0,100.0,0,0,61.76,59.52,1.04,Discount Hunter
30,john_davis_30,3.7333333333333334,1.0,0.0,1,0,119.72,104.03,1.15,Healthy
31,karen_moore_31,4.316666666666666,0.5,0.0,0,0,114.88,100.4,1.14,Healthy
32,william_miller_32,3.2666666666666666,15.0,0.0,1,0,94.0,94.3,1.0,Late Payer
33,jessica_white_33,2.45,1.5,100.0,0,0,58.74,61.67,0.95,Discount Hunter
34,christopher_jones_34,2.8,18.0,0.0,2,0,94.31,89.87,1.05,Late Payer
35,donna_wilson_35,1.6333333333333333,3.5,100.0,0,0,55.53,57.089999999999996,0.97,Discount Hunter
36,jessica_anderson_36,3.7333333333333334,11.0,0.0,2,0,95.25,95.47,1.0,Late Payer
37,sandra_brown_37,3.7333333333333334,12.5,0.0,1,0,93.08,90.25,1.03,Late Payer
38,robert_jones_38,2.1,17.5,0.0,0,0,85.67999999999999,88.69,0.96,Late Payer
39,sandra_moore_39,2.1,0.5,100.0,1,0,54.99,59.79,0.92,Discount Hunter
40,michael_moore_40,1.05,1.5,0.0,4,3,12.62,75.24,0.17,At Risk
41,robert_johnson_41,2.216666666666667,18.5,0.0,0,0,90.86,91.05,1.0,Late Payer
42,joseph_thomas_42,3.5,12.0,0.0,2,0,91.45,90.15,1.01,Late Payer
43,jane_moore_43,3.966666666666667,22.5,0.0,1,0,91.97,94.25,0.97,Late Payer
44,karen_miller_44,1.9833333333333334,2.0,100.0,1,0,50.13,62.2,0.8,Discount Hunter
45,charles_miller_45,1.6333333333333333,0.5,100.0,1,0,64.09,62.32,1.03,Discount Hunter
46,robert_jones_46,3.5,17.5,0.0,1,0,98.39,89.54,1.1,Late Payer
47,james_thompson_47,0.8166666666666667,8.0,0.0,2,1,12.24,73.33,0.17,At Risk
48,sandra_garcia_48,3.2666666666666666,2.0,0.0,0,0,129.62,108.63,1.19,Healthy
49,patricia_white_49,2.3333333333333335,18.0,0.0,1,0,87.63,84.97,1.03,Late Payer
50,karen_jackson_50,7.116666666666666,2.0,0.0,0,0,123.75,103.15,1.2,Healthy
51,lisa_taylor_51,1.75,2.0,100.0,1,0,53.52,56.74,0.94,Discount Hunter
52,jane_johnson_52,2.1,16.0,0.0,1,0,94.28,93.14,1.01,Late Payer
53,christopher_miller_53,3.7333333333333334,18.0,0.0,1,0,90.96,92.09,0.99,Late Payer
54,david_smith_54,1.8666666666666667,2.0,100.0,0,0,54.66,54.28,1.01,Discount Hunter
55,charles_thompson_55,2.9166666666666665,13.5,0.0,1,0,95.72,89.18,1.07,Late Payer
56,lisa_johnson_56,1.5166666666666666,2.0,100.0,0,0,60.86,63.31,0.96,Discount Hunter
57,william_wilson_57,1.4,1.0,0.0,2,1,13.32,81.96000000000001,0.16,At Risk
58,emily_anderson_58,1.2833333333333334,1.5,0.0,4,1,10.61,72.39,0.15,At Risk
59,emily_miller_59,2.45,18.0,0.0,2,0,86.62,92.94,0.93,Late Payer
60,sarah_jackson_60,3.85,0.0,0.0,0,0,126.06,95.44,1.32,Healthy
61,donna_martin_61,7.116666666666666,4.0,0.0,0,0,116.83,103.2,1.13,Healthy
62,jane_brown_62,3.6166666666666667,2.5,33.333333333333336,0,0,124.41,106.23,1.17,Healthy
63,michael_davis_63,7.116666666666666,1.0,0.0,1,0,122.57000000000001,101.81,1.2,Healthy
64,donna_davis_64,3.966666666666667,14.5,0.0,1,0,94.78,91.29,1.04,Late Payer
65,emily_anderson_65,1.2833333333333334,1.5,100.0,0,0,57.39,56.05,1.02,Discount Hunter
66,robert_martinez_66,1.6333333333333333,2.0,100.0,1,0,58.06,60.63,0.96,Discount Hunter
67,alex_williams_67,7.116666666666666,1.0,0.0,1,0,123.85,100.26,1.23,Healthy
68,jessica_thompson_68,3.7333333333333334,18.5,0.0,0,0,96.54,91.21,1.06,Late Payer
69,john_moore_69,7.116666666666666,2.5,0.0,0,0,111.6,107.3,1.04,Healthy
70,david_thompson_70,2.8,17.5,0.0,1,0,95.94,84.7,1.13,Late Payer
71,thomas_garcia_71,1.4,8.0,0.0,3,3,12.38,70.7,0.17,At Risk
72,thomas_thompson_72,0.7,10.0,0.0,4,4,11.48,77.4,0.15,At Risk
73,jane_jackson_73,1.1666666666666667,16.5,0.0,4,2,11.61,73.15,0.16,At Risk
74,charles_garcia_74,7.116666666666666,0.5,0.0,1,0,122.03,102.66,1.19,Healthy
75,donna_miller_75,2.45,3.0,100.0,0,0,58.42,55.38,1.05,Discount Hunter
76,james_miller_76,3.966666666666667,4.0,14.285714285714286,1,0,115.0,103.55,1.11,Healthy
77,sarah_garcia_77,2.1,2.0,100.0,0,0,58.65,55.65,1.05,Discount Hunter
78,donna_brown_78,2.3333333333333335,21.5,0.0,2,0,96.44,92.85,1.04,Late Payer
79,sarah_hernandez_79,0.9333333333333333,2.5,0.0,3,2,12.99,72.67,0.18,At Risk
80,jessica_garcia_80,0.9333333333333333,11.5,0.0,4,3,13.19,73.54,0.18,At Risk
81,karen_brown_81,1.05,9.0,0.0,2,0,11.55,74.15,0.16,At Risk
82,donna_taylor_82,2.8,21.5,0.0,2,0,95.37,93.91,1.01,Late Payer
83,donna_smith_83,7.116666666666666,1.0,25.0,1,0,120.25,110.89,1.08,Healthy
84,jessica_anderson_84,1.1666666666666667,4.0,100.0,1,0,57.32,63.04,0.91,Discount Hunter
85,lisa_jackson_85,1.4,2.0,100.0,1,0,57.4,57.68,0.99,Discount Hunter
86,sandra_thompson_86,3.85,2.5,0.0,1,0,112.79,102.33,1.1,Healthy
87,robert_miller_87,1.8666666666666667,2.5,100.0,1,0,55.92,57.6,0.97,Discount Hunter
