invoice_id,user_id,amount,due_date,payment_date
1,1,122.19,2026-04-29,2026-04-29
2,1,126.6,2026-05-24,
3,2,149.44,2026-04-29,2026-05-03
4,2,109.41,2026-05-24,2026-05-27
5,3,61.34,2026-04-29,2026-05-03
6,3,43.0,2026-05-24,
7,4,75.48,2026-04-29,2026-04-30
8,4,84.55,2026-05-24,2026-05-26
9,5,133.4,2026-04-29,2026-05-11
10,5,128.64,2026-05-24,2026-06-10
11,6,63.14,2026-04-29,2026-05-02
12,6,70.78,2026-05-24,2026-05-28
13,7,93.69,2026-04-29,2026-05-01
14,7,129.65,2026-05-24,2026-05-26
15,8,117.54,2026-04-29,2026-05-17
16,8,109.8,2026-05-24,
17,9,97.64,2026-04-29,2026-05-19
18,9,83.86,2026-05-24,2026-06-18
19,10,56.63,2026-04-29,2026-05-17
20,10,136.15,2026-05-24,2026-06-18
21,11,123.41,2026-04-29,2026-05-16
22,11,143.93,2026-05-24,2026-06-07
23,12,89.78,2026-04-29,2026-05-18
24,12,86.01,2026-05-24,2026-06-18
25,13,62.58,2026-04-29,2026-04-29
26,13,103.87,2026-05-24,2026-05-28
27,14,71.33,2026-04-29,2026-05-11
28,14,94.93,2026-05-24,2026-06-04
29,15,139.71,2026-04-29,2026-05-01
30,15,67.54,2026-05-24,2026-05-24
31,16,121.35,2026-04-29,2026-04-29
32,16,45.89,2026-05-24,2026-05-25
33,17,85.44,2026-04-29,2026-05-02
34,17,105.56,2026-05-24,2026-05-25
35,18,41.17,2026-04-29,2026-05-02
36,18,106.17,2026-05-24,2026-05-26
37,19,100.36,2026-04-29,2026-05-12
38,19,113.83,2026-05-24,
39,20,47.79,2026-04-29,2026-05-14
40,20,77.54,2026-05-24,2026-06-09
41,21,124.43,2026-04-29,2026-05-13
42,21,66.81,2026-05-24,
43,22,105.26,2026-04-29,2026-05-15
44,22,139.29,2026-05-24,2026-06-06
45,23,111.68,2026-04-29,2026-05-11
46,23,149.69,2026-05-24,
47,24,91.38,2026-04-29,2026-05-12
48,24,43.67,2026-05-24,2026-05-24
49,25,125.98,2026-04-29,2026-05-19
50,25,114.24,2026-05-24,
51,26,68.13,2026-04-29,2026-04-30
52,26,124.34,2026-05-24,
53,27,98.01,2026-04-29,2026-05-22
54,27,67.95,2026-05-24,2026-06-10
55,28,51.82,2026-04-29,2026-05-03
56,28,61.73,2026-05-24,2026-05-26
57,29,70.79,2026-04-29,2026-04-29
58,29,126.34,2026-05-24,2026-05-26
59,30,83.62,2026-04-29,2026-04-29
60,30,75.72,2026-05-24,2026-05-26
61,31,129.38,2026-04-29,2026-04-29
62,31,146.94,2026-05-24,2026-05-25
63,32,114.3,2026-04-29,2026-05-16
64,32,135.93,2026-05-24,2026-06-06
65,33,31.64,2026-04-29,2026-04-29
66,33,66.6,2026-05-24,2026-05-27
67,34,51.24,2026-04-29,2026-05-17
68,34,134.05,2026-05-24,2026-06-11
69,35,148.45,2026-04-29,2026-05-02
70,35,116.88,2026-05-24,2026-05-28
71,36,138.39,2026-04-29,2026-05-10
72,36,42.7,2026-05-24,2026-06-04
73,37,46.1,2026-04-29,2026-05-11
74,37,107.8,2026-05-24,2026-06-06
75,38,100.64,2026-04-29,2026-05-13
76,38,92.38,2026-05-24,2026-06-14
77,39,114.15,2026-04-29,2026-04-30
78,39,31.71,2026-05-24,2026-05-24
79,40,100.98,2026-04-29,2026-05-02
80,40,117.59,2026-05-24,
81,41,94.23,2026-04-29,2026-05-12
82,41,146.77,2026-05-24,2026-06-17
83,42,135.39,2026-04-29,2026-05-12
84,42,72.88,2026-05-24,2026-06-04
85,43,38.34,2026-04-29,2026-05-23
86,43,126.28,2026-05-24,2026-06-14
87,44,106.24,2026-04-29,2026-04-29
88,44,130.84,2026-05-24,2026-05-28
89,45,138.37,2026-04-29,2026-04-29
90,45,94.18,2026-05-24,2026-05-25
91,46,135.34,2026-04-29,2026-05-12
92,46,40.75,2026-05-24,2026-06-15
93,47,79.55,2026-04-29,2026-05-15
94,47,60.57,2026-05-24,
95,48,137.55,2026-04-29,2026-05-03
96,48,102.5,2026-05-24,2026-05-24
97,49,111.21,2026-04-29,2026-05-16
98,49,100.58,2026-05-24,2026-06-12
99,50,32.22,2026-04-29,2026-05-03
100,50,145.61,2026-05-24,2026-05-24
101,51,35.21,2026-04-29,2026-04-30
102,51,35.63,2026-05-24,2026-05-27
103,52,61.43,2026-04-29,2026-05-12
104,52,70.77,2026-05-24,2026-06-12
105,53,67.56,2026-04-29,2026-05-13
106,53,81.45,2026-05-24,2026-06-15
107,54,39.9,2026-04-29,2026-04-30
108,54,115.62,2026-05-24,2026-05-27
109,55,38.39,2026-04-29,2026-05-13
110,55,36.24,2026-05-24,2026-06-06
111,56,51.92,2026-04-29,2026-04-30
112,56,61.11,2026-05-24,2026-05-27
