purchase_id,user_id,amount,purchase_date,discount_applied,discount_value
1,1,77.43,2026-03-24,0,0.0
2,1,72.44,2026-05-06,0,0.0
3,1,90.77,2026-04-24,0,0.0
4,1,56.71,2026-04-08,0,0.0
5,1,31.17,2026-05-03,0,0.0
6,1,64.91,2026-04-02,0,0.0
7,1,79.76,2026-05-03,0,0.0
8,2,34.99,2026-05-07,1,8.75
9,2,63.09,2026-04-12,1,15.77
10,2,36.07,2026-04-02,1,9.02
11,2,29.07,2026-04-12,1,29.07
12,3,50.82,2026-05-12,0,0.0
13,3,35.21,2026-04-13,0,0.0
14,3,76.7,2026-05-17,0,0.0
15,3,61.59,2026-05-19,0,0.0
16,3,63.08,2026-03-29,0,0.0
17,3,95.22,2026-04-03,0,0.0
18,3,73.65,2026-04-02,0,0.0
19,4,56.11,2026-05-02,1,24.05
20,4,60.75,2026-05-03,1,26.04
21,4,63.94,2026-05-18,1,15.98
22,4,30.35,2026-04-27,1,7.59
23,4,77.26,2026-03-31,1,19.32
24,4,17.98,2026-04-01,1,4.5
25,5,66.16,2026-05-15,0,0.0
26,5,24.29,2026-04-06,0,0.0
27,5,84.89,2026-05-10,0,0.0
28,5,26.81,2026-04-30,0,0.0
29,5,29.48,2026-05-04,0,0.0
30,5,53.29,2026-04-01,0,0.0
31,6,10.1,2026-03-28,1,10.11
32,6,43.5,2026-04-30,1,43.5
33,6,47.34,2026-04-07,1,11.83
34,6,44.16,2026-04-21,1,18.93
35,6,32.07,2026-04-28,1,32.08
36,7,43.61,2026-03-29,0,0.0
37,7,29.21,2026-03-29,0,0.0
38,7,80.33,2026-05-10,0,0.0
39,7,77.94,2026-04-06,0,0.0
40,7,84.37,2026-03-26,0,0.0
41,7,51.57,2026-03-30,0,0.0
42,8,54.55,2026-05-14,0,0.0
43,8,79.1,2026-04-02,0,0.0
44,8,30.41,2026-03-29,0,0.0
45,9,70.82,2026-04-08,0,0.0
46,9,45.86,2026-04-10,0,0.0
47,9,45.29,2026-04-09,0,0.0
48,9,25.46,2026-04-21,0,0.0
49,9,70.51,2026-04-21,0,0.0
50,9,41.97,2026-03-30,0,0.0
51,9,48.16,2026-05-16,0,0.0
52,10,24.26,2026-04-23,0,0.0
53,10,49.92,2026-04-17,0,0.0
54,10,99.56,2026-04-25,0,0.0
55,11,81.05,2026-04-21,0,0.0
56,11,31.02,2026-04-13,0,0.0
57,11,51.84,2026-04-26,0,0.0
58,11,42.3,2026-04-08,0,0.0
59,11,22.07,2026-05-12,0,0.0
60,12,21.85,2026-04-18,0,0.0
61,12,60.44,2026-04-24,0,0.0
62,12,37.21,2026-05-04,0,0.0
63,12,23.89,2026-04-27,0,0.0
64,12,59.59,2026-05-01,0,0.0
65,13,12.03,2026-05-04,1,12.03
66,13,56.83,2026-05-05,1,14.21
67,13,26.53,2026-05-13,1,26.53
68,13,22.43,2026-04-19,1,5.61
69,14,57.77,2026-03-21,0,0.0
70,14,52.71,2026-05-01,0,0.0
71,14,30.83,2026-03-31,0,0.0
72,15,30.16,2026-03-25,1,7.54
73,15,20.43,2026-05-18,1,20.43
74,15,54.32,2026-04-12,1,23.28
75,15,28.56,2026-05-10,1,7.14
76,15,52.46,2026-04-25,1,13.12
